title,reference,identified through database searching,source,study year,screened,full text screened,relevant intervention,low- or middle-income country,RCT,includes children under 5,authors contacted,authors responded ,mortality data collected,mortality data still available,include
"The impact of wastewater-irrigated urban agriculture on microbial quality of drinking water at household level in Addis Ababa, Ethiopia","Ali, Adnan Sirage, Sirak Robele Gari, Michaela L Goodson, Claire L. Walsh, Bitew K. Dessie, and Argaw Ambelu. “The Impact of Wastewater-Irrigated Urban Agriculture on Microbial Quality of Drinking Water at Household Level in Addis Ababa, Ethiopia.” Urban Water Journal 20, no. 9 (2023): 1207–18. https://doi.org/10.1080/1573062X.2023.2253215.",1,New addition,2023,1,1,0,,,,,,,,
Household drinking water quality and its predictors in flood-prone settings of Northwest Ethiopia: A cross-sectional community-based study,"Birhan, Tsegaye Adane, Bikes Destaw Bitew, Henok Dagne, et al. “Household Drinking Water Quality and Its Predictors in Flood-Prone Settings of Northwest Ethiopia: A Cross-Sectional Community-Based Study.” Heliyon 9, no. 4 (2023): e15072. https://doi.org/10.1016/j.heliyon.2023.e15072.",1,New addition,2023,1,1,0,,,,,,,,
"Effects of a Water, Sanitation and Hygiene Mobile Health Program on Respiratory Illness in Bangladesh: A Cluster-Randomized Controlled Trial of the CHoBI7 Mobile Health Program.","George, Christine Marie, Jamie Perin, Tahmina Parvin, et al. “Effects of a Water, Sanitation and Hygiene Mobile Health Program on Respiratory Illness in Bangladesh: A Cluster-Randomized Controlled Trial of the CHoBI7 Mobile Health Program.” The American Journal of Tropical Medicine and Hygiene 106, no. 3 (2022): 979–84. https://doi.org/10.4269/ajtmh.21-0679.",1,New addition,2022,1,1,0,,,,,,,,
Randomized Controlled Trial of the Cholera-Hospital-Based-Intervention-for-7-Days (CHoBI7) Cholera Rapid Response Program to Reduce Diarrheal Diseases in Bangladesh.,"George, Christine Marie, Tahmina Parvin, Md Sazzadul Islam Bhuyian, et al. “Randomized Controlled Trial of the Cholera-Hospital-Based-Intervention-for-7-Days (CHoBI7) Cholera Rapid Response Program to Reduce Diarrheal Diseases in Bangladesh.” International Journal of Environmental Research and Public Health 19, no. 19 (2022): 12905. https://doi.org/10.3390/ijerph191912905.",1,New addition,2022,1,1,0,,,,,,,,
A randomised controlled feasibility trial of a BabyWASH household playspace: the CAMPI study,"Budge, Sophie, Paul Hutchings, Alison Parker, et al. “A Randomised Controlled Feasibility Trial of a BabyWASH Household Playspace: The CAMPI Study.” PLoS Neglected Tropical Diseases 15, no. 7 (2021): e0009514. https://doi.org/10.1371/journal.pntd.0009514.",1,New addition,2021,1,1,0,,,,,,,,
"Are better existing WASH practices in urban slums associated with a lower long-term risk of severe cholera? A prospective cohort study with 4 years of follow-up in Mirpur, Bangladesh.",,1,New addition,2022,1,1,0,,,,,,,,
Bacterial contamination in drinking water of urban Peshawar: A comparative study at the sources and user points of tube wells,,1,New addition,2020,1,1,0,,,,,,,,
"The prevalence of diarrhoea and drinking water quality in Darbandikhan city, Iraq",,1,New addition,2020,1,1,0,,,,,,,,
"Effect of a water, sanitation and hygiene program on handwashing with soap among household members of diarrhoea patients in healthcare facilities in Bangladesh: a cluster-randomised controlled trial of the CHoBI7 mobile health program.",,1,New addition,2020,1,1,0,,,,,,,,
"Effect of a Water, Sanitation, and Hygiene Program on Handwashing with a Cleansing Agent among Diarrhea Patients and Attendants in Healthcare Facilities in the Democratic Republic of the Congo: A Randomized Pilot of the PICHA7 Program.",,1,New addition,2024,1,1,0,,,,,,,,
Effect of microbial quality of washing water on hand hygiene status of food handlers in jimma town: implication for food hygiene and safety,,1,New addition,2021,1,1,0,,,,,,,,
"Effects of an urban sanitation intervention on childhood enteric infection and diarrhea in Maputo, Mozambique: a controlled before-and-after trial",,1,New addition,2021,1,1,0,,,,,,,,
The gut microbiome and early-life growth in a population with high prevalence of stunting,,1,New addition,2023,1,1,0,,,,,,,,
"Possible health impacts due to animal and human fecal pollution in water intended for drinking water supply of Rio de Janeiro, Brazil",,1,New addition,2020,1,1,0,,,,,,,,
Psychosocial Factors Mediating the Effect of the CHoBI7 Mobile Health Program on Handwashing With Soap and Household Stored Water Quality: A Randomized Controlled Trial.,,1,New addition,2022,1,1,0,,,,,,,,
"Water sanitation, hygiene and the prevalence of diarrhea in the rural areas of the delta region of Myanmar",,1,New addition,2022,1,1,0,,,,,,,,
"Water, Sanitation, and Hygiene Challenges in Informal Settlements in Kampala, Uganda: A Qualitative Study",,1,New addition,2023,1,1,0,,,,,,,,
"Process Evaluation for the Delivery of a Water, Sanitation and Hygiene Mobile Health Program: randomized Controlled Trial of the PICHA7 Mobile Health Program",,1,New addition,2025,1,1,0,,,,,,,,
"Impact on childhood mortality of interventions to improve drinking water, sanitation and hygiene (WASH) to households: systematic review and meta-analysis",,1,New addition,2023,1,1,0,,,,,,,,
Interventions to improve sanitation for preventing diarrhoea,,1,New addition,2023,1,1,0,,,,,,,,
"Differential Effectiveness of Water, Sanitation, and Handwashing Interventions to Reduce Child Diarrhea in Dry and Rainy Seasons: A Systematic Review and Meta-Analysis of Intervention Trials",,1,New addition,2025,1,1,0,,,,,,,,
The effectiveness of solar disinfection water treatment method for reducing childhood diarrhea: A systematic review and meta-analysis protocol,,1,New addition,2020,1,1,0,,,,,,,,
"School water, sanitation, and hygiene (WaSH) intervention to improve malnutrition, dehydration, health literacy, and handwashing: a cluster-randomised controlled trial in Metro Manila, Philippines",,0,Sangalang et al 2020,2022,1,1,0,,,,,,,,
"Effectiveness of WASH Education to Prevent Diarrhea among Children under five in a Community of Patuakhali, Bangladesh",,1,New addition,2020,1,1,0,,,,,,,,
"A factorial cluster-randomised controlled trial combining home-environmental and early child development interventions to improve child health and development: rationale, trial design and baseline findings",,1,New addition,2020,1,1,0,,,,,,,,
Addressing Fecal Contamination in Rural Kenyan Households: The Roles of Environmental Interventions and Animal Ownership,,1,New addition,2024,1,1,0,,,,,,,,
Drinking water chlorination has minor effects on the intestinal flora and resistomes of Bangladeshi children,,1,New addition,2022,1,1,0,,,,,,,,
"Improving knowledge, attitudes, and practices on dengue and diarrhea in rural primary school students, their parents, and teachers in Colombia: A cluster-randomized controlled trial.",,1,New addition,2022,1,1,0,,,,,,,,
Impact of a demand-side integrated WASH and nutrition community-based care group intervention on behavioural change: a randomised controlled trial in western Kenya.,,1,New addition,2020,1,1,0,,,,,,,,
"The impact of improved water supply on cholera and diarrhoeal diseases in Uvira, Democratic Republic of the Congo: a protocol for a pragmatic stepped-wedge cluster randomised trial and economic evaluation",,1,New addition,2021,1,1,0,,,,,,,,
"Pathways through which water, sanitation, hygiene, and nutrition interventions reduce antibiotic use in young children: a mediation analysis of a cluster-randomized trial","Nguyen, Anna T., Gabby Barratt Heitmann, Andrew Mertens, et al. “Pathways through Which Water, Sanitation, Hygiene, and Nutrition Interventions Reduce Antibiotic Use in Young Children: A Mediation Analysis of a Cohort Nested within a Cluster-Randomized Trial.” eClinicalMedicine 82 (April 2025): 103147. https://doi.org/10.1016/j.eclinm.2025.103147.",1,New addition,2024,1,0,0,,,,,,,,
"Impacts of seasonal variations on water quality, waterborne diseases, and related health risks","Ahmad, Toqeer, Alia Naz, Muhammad Khursheed, Umair Bin Nisar, Fahad Zafar, and Ali Hasnain. “Impacts of Seasonal Variations on Water Quality, Waterborne Diseases, and Related Health Risks.” Desalination and Water Treatment 223 (May 2021): 264–79. https://doi.org/10.5004/dwt.2021.27149.",1,New addition,2021,1,0,0,,,,,,,,
Exposure to chlorinated drinking water alters the murine fecal microbiota,"Jandova, Jana, Gabriele Schiro, Frank A. Duca, Daniel Laubitz, and Georg T. Wondrak. “Exposure to Chlorinated Drinking Water Alters the Murine Fecal Microbiota.” The Science of the Total Environment 914 (March 2024): 169933. https://doi.org/10.1016/j.scitotenv.2024.169933.",1,New addition,2024,1,0,0,,,,,,,,
PROCESSING SYSTEM AND EVALUATION MICROBIOLOGICAL QUALITY OF DRINKING WATER FOUNTAIN IN SURABAYA CITY,"Novitasari, Dian. “Processing System and Evaluation Microbiological Quality of Drinking Water Fountain in Surabaya City.” JURNAL KESEHATAN LINGKUNGAN 12, no. 3 (2020): 154–62. https://doi.org/10.20473/jkl.v12i3.2020.154-162.",1,New addition,2020,1,0,0,,,,,,,,
"Quality and safety of municipal drinking water in Addis Ababa City, Ethiopia","Wolde, Amsalu Mekonnen, Kemal Jemal, Gebru M. Woldearegay, and Kassu Desta Tullu. “Quality and Safety of Municipal Drinking Water in Addis Ababa City, Ethiopia.” Environmental Health and Preventive Medicine 25, no. 1 (2020): 9. https://doi.org/10.1186/s12199-020-00847-8.",1,New addition,2020,1,0,0,,,,,,,,
"High fecal contamination and high levels of antibiotic-resistant enterobacteriaceae in water consumed in the city of Maputo, Mozambique","Salamandane, Acácio, Filipa Vila-Boa, Manuel Malfeito-Ferreira, and Luísa Brito. “High Fecal Contamination and High Levels of Antibiotic-Resistant Enterobacteriaceae in Water Consumed in the City of Maputo, Mozambique.” Biology 10, no. 6 (2021): 558. https://doi.org/10.3390/biology10060558.",1,New addition,2021,1,0,0,,,,,,,,
Impact of covid-19 lockdown on availability of drinking water in the arsenic-affected ganges river basin,"Duttagupta, Srimanti, Soumendra N. Bhanja, Avishek Dutta, et al. “Impact of Covid-19 Lockdown on Availability of Drinking Water in the Arsenic-Affected Ganges River Basin.” International Journal of Environmental Research and Public Health 18, no. 6 (2021): 2832. https://doi.org/10.3390/ijerph18062832.",1,New addition,2021,1,0,0,,,,,,,,
Approximation of ground water quality for microbial and chemical contamination,"Alsalme, Ali, Nabil Al-Zaqri, Rizwan Ullah, and Sidra Yaqub. “Approximation of Ground Water Quality for Microbial and Chemical Contamination.” Saudi Journal of Biological Sciences 28, no. 3 (2021): 1757–62. https://doi.org/10.1016/j.sjbs.2020.12.017.",1,New addition,2021,1,0,0,,,,,,,,
Bacteriological and physicochemical quality of drinking water and associated risk factors in Ethiopia,"Atumo Ante, Abera, Girma Asefa Bogale, and Biniyam Mohammed Adem. “Bacteriological and Physicochemical Quality of Drinking Water and Associated Risk Factors in Ethiopia.” Cogent Food & Agriculture 9 (January 2023): 2219473. https://doi.org/10.1080/23311932.2023.2219473.",1,New addition,2023,1,0,0,,,,,,,,
"Bacteriological and Physicochemical Quality of Drinking Water in Wegeda Town, Northwest Ethiopia","Sitotaw, Baye, Eshetie Melkie, and Denekew Temesgen. “Bacteriological and Physicochemical Quality of Drinking Water in Wegeda Town, Northwest Ethiopia.” Journal of Environmental and Public Health 2021, no. 1 (2021): 6646269. https://doi.org/10.1155/2021/6646269.",1,New addition,2021,1,0,0,,,,,,,,
Bacteriological assessment of dug well water in rural areas of Bangladesh,"Islam, Md. Atikul, Md. Ali Akber, M. M. Majedul Islam, Md. Azharul Islam, and Mukta Dutta. “Bacteriological Assessment of Dug Well Water in Rural Areas of Bangladesh.” Journal of Water Supply: Research and Technology-Aqua 69, no. 7 (2020): 720–32. https://doi.org/10.2166/aqua.2020.044.",1,New addition,2020,1,0,0,,,,,,,,
A membrane filtration method for the enumeration of Escherichia coli in bathing water and other waters with high levels of background bacteria,"Kemper, Merel A., Christiaan Veenman, Hetty Blaak, and Franciska M. Schets. “A Membrane Filtration Method for the Enumeration of Escherichia Coli in Bathing Water and Other Waters with High Levels of Background Bacteria.” Journal of Water and Health 21, no. 8 (2023): 995–1003. https://doi.org/10.2166/wh.2023.004.",1,New addition,2023,1,0,0,,,,,,,,
"A prolonged cholera outbreak caused by drinking contaminated stream water, Kyangwali refugee settlement, Hoima District, Western Uganda: 2018","Monje, Fred, Alex Riolexus Ario, Angella Musewa, et al. “A Prolonged Cholera Outbreak Caused by Drinking Contaminated Stream Water, Kyangwali Refugee Settlement, Hoima District, Western Uganda: 2018.” Infectious Diseases of Poverty 9, no. 1 (2020): 154. https://doi.org/10.1186/s40249-020-00761-9.",1,New addition,2020,1,0,0,,,,,,,,
"A protracted cholera outbreak among residents in an urban setting, Nairobi County, Kenya, 2015","Kigen, Hudson Taabukk, Waqo Boru, Zeinab Gura, et al. “A Protracted Cholera Outbreak among Residents in an Urban Setting, Nairobi County, Kenya, 2015.” The Pan African Medical Journal 36 (2020): 127. https://doi.org/10.11604/pamj.2020.36.127.19786.",1,New addition,2020,1,0,0,,,,,,,,
Bacterial Contamination Assessment of Groundwater Supplies in TADLA area (Morocco),"Hafiane, Fatima Zahra, Mohammed Fekhaoui, Mohamed El Jarmouni, Latifa Tahri, Nordine Nouayti, and Karim Arifi. “Bacterial Contamination Assessment of Groundwater Supplies in TADLA Area (Morocco).” Vol. 66. March 11, 2020. https://doi.org/10.1145/3399205.3399222.",1,New addition,2020,1,0,0,,,,,,,,
"Bacterial Propagation in Municipal Water and Deep Tube-well Water in Kashipur Locality of Narayanganj City, Bangladesh","Islam, Tamanna, Mrityunjoy Acharjee, Nafisa Tabassum, and Mahima Ranjan Acharjee. “Bacterial Propagation in Municipal Water and Deep Tube-Well Water in Kashipur Locality of Narayanganj City, Bangladesh.” Journal of Water and Environment Technology 18, no. 5 (2020): 327–37. https://doi.org/10.2965/jwet.20-049.",1,New addition,2020,1,0,0,,,,,,,,
Bacteriological health threats to water in home wells,"Wysowska, Ewa, Kazimierz Kudlik, and Alicja Kicińska. “Bacteriological Health Threats to Water in Home Wells.” Archives of Environmental Protection 46, no. 2 (2020): 21–34.",1,New addition,2020,1,0,0,,,,,,,,
"Bacteriological quality and associated risk factors of drinking water in Eastern zone, Tigrai, Ethiopia, 2019","Gebrewahd, Aderajew, Gebre Adhanom, Gebremedhin Gebremichail, et al. “Bacteriological Quality and Associated Risk Factors of Drinking Water in Eastern Zone, Tigrai, Ethiopia, 2019.” Tropical Diseases, Travel Medicine and Vaccines 6 (2020): 15. https://doi.org/10.1186/s40794-020-00116-0.",1,New addition,2020,1,0,0,,,,,,,,
"Bacteriological quality and physicochemical analysis of the Kalte River at Wolaita Sodo Town, southern Ethiopia","Sivalingam, Krishna Moorthy, Israel Solomon Choramo, and Eyob Chukalo Chutulo. “Bacteriological Quality and Physicochemical Analysis of the Kalte River at Wolaita Sodo Town, Southern Ethiopia.” BMC Research Notes 17, no. 1 (2024): 192. https://doi.org/10.1186/s13104-024-06854-0.",1,New addition,2024,1,0,0,,,,,,,,
